activity_id,activity_name,kind,sequence,id,name,lap_index,split,start_index,end_index,start_date,start_date_local,distance,moving_time,elapsed_time,total_elevation_gain,elevation_difference,average_speed,max_speed,average_heartrate,max_heartrate,average_cadence,average_watts,max_watts,device_watts,pace_zone,average_grade_adjusted_speed,moving_pace_s_per_km,elapsed_pace_s_per_km,nonmoving_time_s
20322876161,"Week 8, run 3. Recovery run",laps,1,72521795609,Lap 0,0,0,0,335,2026-09-25T10:49:19Z,2026-09-25T11:49:19Z,1000.0,335,335,8.8,,2.99,3.82,128.5,140.0,79.6,439.2,,True,1,,335.0,335.0,0
20322876161,"Week 8, run 3. Recovery run",laps,2,72521795610,Lap 1,1,1,336,660,2026-09-25T10:54:55Z,2026-09-25T11:54:55Z,1000.0,325,324,0.0,,3.08,3.38,135.5,141.0,80.6,433.2,,True,1,,325.0,324.0,0
20322876161,"Week 8, run 3. Recovery run",laps,3,72521795611,Lap 2,2,2,661,983,2026-09-25T11:00:20Z,2026-09-25T12:00:20Z,1000.0,323,323,9.6,,3.1,3.6,138.4,146.0,79.8,441.9,,True,1,,323.0,323.0,0
20322876161,"Week 8, run 3. Recovery run",laps,4,72521795612,Lap 3,3,3,984,1307,2026-09-25T11:05:43Z,2026-09-25T12:05:43Z,1000.0,324,324,7.8,,3.09,3.64,143.1,149.0,79.6,439.3,,True,1,,324.0,324.0,0
20322876161,"Week 8, run 3. Recovery run",laps,5,72521795613,Lap 4,4,4,1308,1628,2026-09-25T11:11:07Z,2026-09-25T12:11:07Z,1000.0,320,320,6.4,,3.13,3.5,146.8,152.0,79.3,450.0,,True,1,,320.0,320.0,0
20322876161,"Week 8, run 3. Recovery run",laps,6,72521795614,Lap 5,5,5,1629,1953,2026-09-25T11:16:28Z,2026-09-25T12:16:28Z,1000.0,325,325,13.0,,3.08,3.94,151.9,159.0,79.3,458.6,,True,1,,325.0,325.0,0
20322876161,"Week 8, run 3. Recovery run",laps,7,72521795615,Lap 6,6,6,1954,2276,2026-09-25T11:21:53Z,2026-09-25T12:21:53Z,1000.0,322,341,1.4,,3.11,3.68,147.4,153.0,79.4,429.9,,True,1,,322.0,341.0,19
20322876161,"Week 8, run 3. Recovery run",laps,8,72521795616,Lap 7,7,7,2277,2613,2026-09-25T11:27:34Z,2026-09-25T12:27:34Z,1000.0,337,337,10.6,,2.97,3.7,155.0,160.0,78.3,447.1,,True,1,,337.0,337.0,0
20322876161,"Week 8, run 3. Recovery run",laps,9,72521795617,Lap 8,8,8,2614,2618,2026-09-25T11:33:11Z,2026-09-25T12:33:11Z,10.26,6,6,0.0,,1.71,1.9,152.8,153.0,66.0,348.3,,True,1,,584.795,584.795,0
20322876161,"Week 8, run 3. Recovery run",splits_metric,1,,,,1,,,,,1002.7,335,335,,6.8,2.99,,128.50598802395209,,,,,,1,3.07,334.098,334.098,0
20322876161,"Week 8, run 3. Recovery run",splits_metric,2,,,,2,,,,,997.9,324,324,,0.4,3.08,,135.44753086419752,,,,,,1,3.09,324.682,324.682,0
