id,name,type,sport_type,start_date,start_date_local,timezone,utc_offset,distance,moving_time,elapsed_time,total_elevation_gain,elev_high,elev_low,average_speed,max_speed,average_heartrate,max_heartrate,has_heartrate,average_cadence,average_temp,average_watts,max_watts,weighted_average_watts,kilojoules,device_watts,calories,suffer_score,perceived_exertion,workout_type,description,gear_id,device_name,trainer,commute,manual,private,visibility,flagged,moving_pace_s_per_km,elapsed_pace_s_per_km,nonmoving_time_s,strava_url,detail_status,detail_fetched_at,streams_status,streams_file,streams_fetched_at
20306633248,"Week 8, run 2. Lactate threshold 2 x 3km. Rest easy-ish.",Run,Run,2026-09-24T05:59:23Z,2026-09-24T06:59:23Z,(GMT+00:00) Europe/London,3600.0,12012.9,3384,3419,62.0,38.8,19.8,3.55,4.6,150.9,171.0,True,80.4,,497.5,659,497,1682.5,True,897.0,54.0,,,,g28570912,Garmin fēnix 7 Pro (47mm),False,False,False,False,everyone,False,281.697,284.611,35,https://www.strava.com/activities/20306633248,available,2026-09-25T09:08:32+00:00,available,streams/20306633248.json,2026-09-25T09:08:32+00:00
20283344901,"Week 8, run 1.",Run,Run,2026-09-22T14:43:12Z,2026-09-22T15:43:12Z,(GMT+00:00) Europe/London,3600.0,10025.7,3124,3200,42.0,28.4,6.6,3.209,4.06,154.7,173.0,True,78.6,,465.7,610,458,1454.2,True,822.0,62.0,,,,g33729576,Garmin fēnix 7 Pro (47mm),False,False,False,False,everyone,False,311.599,319.18,76,https://www.strava.com/activities/20283344901,available,2026-09-25T09:08:32+00:00,available,streams/20283344901.json,2026-09-25T09:08:32+00:00
20280107022,New Forest 🌳,Hike,Hike,2026-09-22T09:01:33Z,2026-09-22T10:01:33Z,(GMT+00:00) Europe/London,3600.0,10399.5,8184,8595,184.0,96.0,34.2,1.271,2.04,91.3,118.0,True,51.6,,,,,,,,16.0,,,,g22965356,Garmin fēnix 7 Pro (47mm),False,False,False,False,everyone,False,786.961,826.482,411,https://www.strava.com/activities/20280107022,pending,,pending,,
20269346690,Isle of Wight cycling loop from Lymington,Ride,Ride,2026-09-21T07:00:50Z,2026-09-21T08:00:50Z,(GMT+00:00) Europe/London,3600.0,113174.0,18007,32966,1365.0,173.8,-25.2,6.285,16.5,130.6,163.0,True,,,125.8,,,2265.3,False,,108.0,,10,,b18493013,Garmin fēnix 7 Pro (47mm),False,False,False,False,everyone,False,159.109,291.286,14959,https://www.strava.com/activities/20269346690,pending,,pending,,
20238897886,"Week 7, run 5. Long run.",Run,Run,2026-09-19T08:12:00Z,2026-09-19T09:12:00Z,(GMT+00:00) Europe/London,3600.0,30023.9,9528,10688,194.0,54.0,5.4,3.151,5.82,152.5,167.0,True,79.2,,472.9,710,462,4501.4,True,,176.0,,,,g32004291,Garmin fēnix 7 Pro (47mm),False,False,False,False,everyone,False,317.347,355.983,1160,https://www.strava.com/activities/20238897886,pending,,pending,,
20223585589,"Week 7, run 4.",Run,Run,2026-09-18T06:34:22Z,2026-09-18T07:34:22Z,(GMT+00:00) Europe/London,3600.0,10542.4,3208,3240,43.0,29.0,2.8,3.286,4.44,149.9,167.0,True,80.0,,464.5,814,460,1485.2,True,,48.0,,,,g33729576,Garmin fēnix 7 Pro (47mm),False,False,False,False,everyone,False,304.295,307.33,32,https://www.strava.com/activities/20223585589,pending,,pending,,
20210666511,"Week 7, run 3.",Run,Run,2026-09-17T08:15:24Z,2026-09-17T09:15:24Z,(GMT+00:00) Europe/London,3600.0,6119.8,1938,1958,36.0,36.6,23.6,3.158,4.16,144.8,156.0,True,79.1,,461.1,600,456,892.0,True,,17.0,,,,g33729576,Garmin fēnix 7 Pro (47mm),False,False,False,False,everyone,False,316.677,319.945,20,https://www.strava.com/activities/20210666511,pending,,pending,,
20203793922,Evening Ride,Ride,Ride,2026-09-16T17:30:39Z,2026-09-16T18:30:39Z,(GMT+00:00) Europe/London,3600.0,11247.1,2319,2412,50.0,27.4,6.4,4.85,8.92,103.3,123.0,True,,,67.8,,,157.1,False,,5.0,,,,b18493013,Garmin fēnix 7 Pro (47mm),False,False,False,False,everyone,False,206.186,214.455,93,https://www.strava.com/activities/20203793922,pending,,pending,,
20196381423,Morning Ride,Ride,Ride,2026-09-16T07:34:54Z,2026-09-16T08:34:54Z,(GMT+00:00) Europe/London,3600.0,12038.3,2344,2500,57.0,29.2,6.4,5.136,8.471,116.4,141.0,True,,,72.7,,,170.5,False,,7.0,,,,b18493013,Garmin fēnix 7 Pro (47mm),False,False,False,False,everyone,False,194.712,207.671,156,https://www.strava.com/activities/20196381423,pending,,pending,,
20195574622,"Week 7, run 2. Easy run",Run,Run,2026-09-16T05:20:39Z,2026-09-16T06:20:39Z,(GMT+00:00) Europe/London,3600.0,12091.1,3890,3932,51.0,33.6,5.6,3.108,4.08,142.1,154.0,True,79.7,,444.7,559,440,1728.3,True,,29.0,,,,g33729576,Garmin fēnix 7 Pro (47mm),False,False,False,False,everyone,False,321.724,325.198,42,https://www.strava.com/activities/20195574622,pending,,pending,,
